cd_postal,cd_commune_nis,tx_postal_name_fr,tx_postal_name_nl
4711,63048,Lontzen,Lontzen
4720,63040,La Calamine,Kelmis
4721,63040,La Calamine,Kelmis
4728,63040,La Calamine,Kelmis
4730,63061,Raeren,Raeren
4731,63061,Raeren,Raeren
4750,63013,Butgenbach,Bütgenbach
4760,63012,Bullange,Büllingen
4761,63012,Bullange,Büllingen
4770,63001,Amblève,Amel
4771,63001,Amblève,Amel
4780,63067,Saint-Vith,Sankt Vith
4782,63067,Saint-Vith,Sankt Vith
4783,63067,Saint-Vith,Sankt Vith
4784,63067,Saint-Vith,Sankt Vith
4790,63087,Burg-Reuland,Burg-Reuland
4791,63087,Burg-Reuland,Burg-Reuland
4800,63079,Verviers,Verviers
4801,63079,Verviers,Verviers
4802,63079,Verviers,Verviers
4820,63020,Dison,Dison
4821,63020,Dison,Dison
4830,63046,Limbourg,Limburg
4831,63046,Limbourg,Limburg
4834,63046,Limbourg,Limburg
4837,63004,Baelen,Baelen
4840,63084,Welkenraedt,Welkenraedt
4841,63084,Welkenraedt,Welkenraedt
4845,63038,Jalhay,Jalhay
4850,63088,Plombières,Plombières
4851,63088,Plombières,Plombières
4852,63088,Plombières,Plombières
4860,63058,Pepinster,Pepinster
4861,63058,Pepinster,Pepinster
4870,62122,Trooz,Trooz
4877,63057,Olne,Olne
4880,63003,Aubel,Aubel
4890,63089,Thimister-Clermont,Thimister-Clermont
4900,63072,Spa,Spa
4910,63076,Theux,Theux
4920,62009,Aywaille,Aywaille
4950,63080,Waimes,Weismes
4960,63049,Malmedy,Malmedy
4970,63073,Stavelot,Stavelot
4980,63086,Trois-Ponts,Trois-Ponts
4983,63086,Trois-Ponts,Trois-Ponts
4987,63075,Stoumont,Stoumont
4990,63045,Lierneux,Lierneux
5000,92094,Namur,Namen
5001,92094,Namur,Namen
5002,92094,Namur,Namen
5003,92094,Namur,Namen
5004,92094,Namur,Namen
5020,92094,Namur,Namen
5021,92094,Namur,Namen
5022,92094,Namur,Namen
5024,92094,Namur,Namen
5030,92142,Gembloux,Gembloux
5031,92142,Gembloux,Gembloux
5032,92142,Gembloux,Gembloux
5060,92137,Sambreville,Sambreville
5070,92048,Fosses-la-Ville,Fosses-la-Ville
5080,92141,La Bruyère,La Bruyère
5081,92141,La Bruyère,La Bruyère
5100,92094,Namur,Namen
5101,92094,Namur,Namen
5140,92114,Sombreffe,Sombreffe
5150,92045,Floreffe,Floreffe
5170,92101,Profondeville,Profondeville
5190,92140,Jemeppe-sur-Sambre,Jemeppe-sur-Sambre
5300,92003,Andenne,Andenne
5310,92035,Eghezée,Eghezée
5330,92006,Assesse,Assesse
5332,92006,Assesse,Assesse
5333,92006,Assesse,Assesse
5334,92006,Assesse,Assesse
5336,92006,Assesse,Assesse
5340,92054,Gesves,Gesves
5350,92097,Ohey,Ohey
5351,92097,Ohey,Ohey
5352,92097,Ohey,Ohey
5353,92097,Ohey,Ohey
5354,92097,Ohey,Ohey
5360,91059,Hamois,Hamois
5361,91059,Hamois,Hamois
5362,91059,Hamois,Hamois
5363,91059,Hamois,Hamois
5364,91059,Hamois,Hamois
5370,91064,Havelange,Havelange
5372,91064,Havelange,Havelange
5374,91064,Havelange,Havelange
5376,91064,Havelange,Havelange
5377,91120,Somme-Leuze,Somme-Leuze
5380,92138,Fernelmont,Fernelmont
5500,91034,Dinant,Dinant
5501,91034,Dinant,Dinant
5502,91034,Dinant,Dinant
5503,91034,Dinant,Dinant
5504,91034,Dinant,Dinant
5520,91103,Onhaye,Onhaye
5521,91103,Onhaye,Onhaye
5522,91103,Onhaye,Onhaye
5523,91103,Onhaye,Onhaye
5524,91103,Onhaye,Onhaye
5530,91141,Yvoir,Yvoir
5537,91005,Anhée,Anhée
5540,91142,Hastière,Hastière
5541,91142,Hastière,Hastière
5542,91142,Hastière,Hastière
5543,91142,Hastière,Hastière
5544,91142,Hastière,Hastière
5550,91143,Vresse-sur-Semois,Vresse-sur-Semois
5555,91015,Bièvre,Bièvre
5560,91072,Houyet,Houyet
5561,91072,Houyet,Houyet
5562,91072,Houyet,Houyet
5563,91072,Houyet,Houyet
5564,91072,Houyet,Houyet
5570,91013,Beauraing,Beauraing
5571,91013,Beauraing,Beauraing
5572,91013,Beauraing,Beauraing
5573,91013,Beauraing,Beauraing
5574,91013,Beauraing,Beauraing
5575,91054,Gedinne,Gedinne
5576,91013,Beauraing,Beauraing
5580,91114,Rochefort,Rochefort
5590,91030,Ciney,Ciney
5600,93056,Philippeville,Philippeville
5620,93022,Florennes,Florennes
5621,93022,Florennes,Florennes
5630,93010,Cerfontaine,Cerfontaine
5640,92087,Mettet,Mettet
5641,92087,Mettet,Mettet
5644,92087,Mettet,Mettet
5646,92087,Mettet,Mettet
5650,93088,Walcourt,Walcourt
5651,93088,Walcourt,Walcourt
5660,93014,Couvin,Couvin
5670,93090,Viroinval,Viroinval
5680,93018,Doische,Doische
6000,52011,Charleroi,Charleroi
6001,52011,Charleroi,Charleroi
6010,52011,Charleroi,Charleroi
6020,52011,Charleroi,Charleroi
6030,52011,Charleroi,Charleroi
6031,52011,Charleroi,Charleroi
6032,52011,Charleroi,Charleroi
6040,52011,Charleroi,Charleroi
6041,52011,Charleroi,Charleroi
6042,52011,Charleroi,Charleroi
6043,52011,Charleroi,Charleroi
6044,52011,Charleroi,Charleroi
6060,52011,Charleroi,Charleroi
6061,52011,Charleroi,Charleroi
6110,52048,Montigny-le-Tilleul,Montigny-le-Tilleul
6111,52048,Montigny-le-Tilleul,Montigny-le-Tilleul
6120,56086,Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes
