cd_commune,tx_commune_fr,tx_commune_nl,cd_arr,tx_arr_fr,tx_arr_nl,cd_arr_2digit,cd_province,tx_prov_fr,tx_prov_nl,cd_region,tx_region_fr,tx_region_nl,nis_version
33039,Heuvelland,Heuvelland,33000,Arrondissement d'Ypres,Arrondissement Ieper,33,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
33040,Langemark-Poelkapelle,Langemark-Poelkapelle,33000,Arrondissement d'Ypres,Arrondissement Ieper,33,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
33016,Messines,Mesen,33000,Arrondissement d'Ypres,Arrondissement Ieper,33,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
33021,Poperinge,Poperinge,33000,Arrondissement d'Ypres,Arrondissement Ieper,33,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
33041,Vleteren,Vleteren,33000,Arrondissement d'Ypres,Arrondissement Ieper,33,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
33029,Wervik,Wervik,33000,Arrondissement d'Ypres,Arrondissement Ieper,33,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
33011,Ypres,Ieper,33000,Arrondissement d'Ypres,Arrondissement Ieper,33,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
33037,Zonnebeke,Zonnebeke,33000,Arrondissement d'Ypres,Arrondissement Ieper,33,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
34002,Anzegem,Anzegem,34000,Arrondissement de Courtrai,Arrondissement Kortrijk,34,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
34003,Avelgem,Avelgem,34000,Arrondissement de Courtrai,Arrondissement Kortrijk,34,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
34022,Courtrai,Kortrijk,34000,Arrondissement de Courtrai,Arrondissement Kortrijk,34,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
34009,Deerlijk,Deerlijk,34000,Arrondissement de Courtrai,Arrondissement Kortrijk,34,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
34043,Espierres-Helchin,Spiere-Helkijn,34000,Arrondissement de Courtrai,Arrondissement Kortrijk,34,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
34013,Harelbeke,Harelbeke,34000,Arrondissement de Courtrai,Arrondissement Kortrijk,34,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
34023,Kuurne,Kuurne,34000,Arrondissement de Courtrai,Arrondissement Kortrijk,34,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
