C_BASE_CLIST_ARCA,Y_BASE_CLIST_ARCA,C_BASE_CODE_ARCA,B_BASE_CODE_XTRA_ARCA,C_OVER_CLIST_ARCA,C_OVER_CODE_ARCA,B_OVER_CODE_XTRA_ARCA,Q_COMB_VAL_ARCA,C_COMB_COMM_ARCA,N_UPD_USR_ARCA,D_UPD_ARCA,B_BASE_CODE_EMPTY_ARCA
NUTS3,2016,BE331,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE331,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE331,0,NUTS2,BE33,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE332,0,ARROND,62,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE332,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE332,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE332,0,NUTS2,BE33,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE333,0,ARROND,63,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE333,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE333,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE333,0,NUTS2,BE33,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE334,0,ARROND,64,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE334,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE334,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE334,0,NUTS2,BE33,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE335,0,ARROND,65,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE335,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE335,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE335,0,NUTS2,BE33,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE336,0,ARROND,66,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE336,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE336,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE336,0,NUTS2,BE33,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE341,0,ARROND,81,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE341,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE341,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE341,0,NUTS2,BE34,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE342,0,ARROND,82,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE342,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE342,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE342,0,NUTS2,BE34,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE343,0,ARROND,83,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE343,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE343,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE343,0,NUTS2,BE34,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE344,0,ARROND,84,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE344,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE344,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE344,0,NUTS2,BE34,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE345,0,ARROND,85,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE345,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE345,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE345,0,NUTS2,BE34,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE351,0,ARROND,91,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE351,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE351,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE351,0,NUTS2,BE35,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE352,0,ARROND,92,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE352,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE352,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE352,0,NUTS2,BE35,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE353,0,ARROND,93,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE353,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE353,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE353,0,NUTS2,BE35,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BEZZZ,0,ARROND,00,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BEZZZ,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BEZZZ,0,NUTS1,BEZ,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BEZZZ,0,NUTS2,BEZZ,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2021,BE100,0,ARROND,21,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2021,BE100,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2021,BE100,0,NUTS1,BE1,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2021,BE100,0,NUTS2,BE10,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
